Species,scientific_name,name,family
LAU,Petromyzon marinus,Sea lamprey,Petromyzontidae
LAR,Lampetra fluviatilis,River lamprey,Petromyzontidae
IDK,Lampetra aepyptera,Least brook lamprey,Petromyzontidae
IDL,Lampetra ayresii,Western American river lamprey,Petromyzontidae
IDN,Lampetra planeri,European brook lamprey,Petromyzontidae
IDO,Lampetra richardsoni,Western brook lamprey,Petromyzontidae
IKQ,Lampetra lanceolata,Turkish brook lamprey,Petromyzontidae
IKR,Lampetra pacifica,Pacific brook lamprey,Petromyzontidae
LAY,Ichthyomyzon unicuspis,Silver lamprey,Petromyzontidae
IDE,Ichthyomyzon bdellium,Ohio lamprey,Petromyzontidae
IDG,Ichthyomyzon castaneus,Chestnut lamprey,Petromyzontidae
IDH,Ichthyomyzon fossor,Northern brook lamprey,Petromyzontidae
IDI,Ichthyomyzon gagei,Southern brook lamprey,Petromyzontidae
IDJ,Ichthyomyzon greeleyi,Mountain brook lamprey,Petromyzontidae
LAF,Eudontomyzon mariae,Ukrainian brook lamprey,Petromyzontidae
ICJ,Eudontomyzon danfordi,Carpathian lamprey,Petromyzontidae
IKG,Eudontomyzon graecus,,Petromyzontidae
IKJ,Eudontomyzon hellenicus,Greek brook lamprey,Petromyzontidae
IKL,Eudontomyzon morii,Korean lamprey,Petromyzontidae
LAW,Caspiomyzon wagneri,Caspian lamprey,Petromyzontidae
LSZ,Lethenteron camtschaticum,Arctic lamprey,Petromyzontidae
IDQ,Lethenteron kessleri,Siberian lamprey,Petromyzontidae
IDT,Lethenteron ninae,Western Transcaucasian lamprey,Petromyzontidae
IDU,Lethenteron reissneri,Far Eastern brook lamprey,Petromyzontidae
IDV,Lethenteron zanandreai,Lombardy brook lamprey,Petromyzontidae
IKT,Lethenteron alaskense,Alaskan brook lamprey,Petromyzontidae
IKU,Lethenteron appendix,American brook lamprey,Petromyzontidae
LAO,Entosphenus tridentatus,Pacific lamprey,Petromyzontidae
IJX,Entosphenus folletti,Northern California lamprey,Petromyzontidae
IJY,Entosphenus hubbsi,Kern brook lamprey,Petromyzontidae
IJZ,Entosphenus lethophagus,PitñKlamath brook lamprey,Petromyzontidae
IKD,Entosphenus macrostomus,Vancouver lamprey,Petromyzontidae
IKE,Entosphenus minimus,Miller Lake lamprey,Petromyzontidae
IKF,Entosphenus similis,Klamath lamprey,Petromyzontidae
IKV,Tetrapleurodon geminis,Jacona lamprey,Petromyzontidae
IKW,Tetrapleurodon spadiceus,Chapala lamprey,Petromyzontidae
LAS,Petromyzontidae,Lampreys nei,Petromyzontidae
ICE,Mordacia lapicida,Chilean lamprey,Mordaciidae
ICF,Mordacia praecox,,Mordaciidae
LAK,Mordacia mordax,Australian lamprey,Mordaciidae
LAE,Geotria australis,Pouched lamprey,Geotriidae
MYP,Paramyxine atami,Brown hagfish,Myxinidae
MYG,Myxine glutinosa,Hagfish,Myxinidae
MYE,Nemamyxine elongata,,Myxinidae
MYB,Eptatretus burgeri,Inshore hagfish,Myxinidae
MYU,Eptatretus stoutii,Pacific hagfish,Myxinidae
MWC,Eptatretus cirrhatus,Broadgilled hagfish,Myxinidae
MYX,Myxinidae,Hagfishes nei,Myxinidae
HEF,Heterodontus francisci,Horn shark,Heterodontidae
HEG,Heterodontus galeatus,Crested bullhead shark,Heterodontidae
HEJ,Heterodontus japonicus,Japanese bullhead shark,Heterodontidae
HEM,Heterodontus mexicanus,Mexican hornshark,Heterodontidae
HEK,Heterodontus portusjacksoni,Port Jackson shark,Heterodontidae
HEQ,Heterodontus quoyi,Galapagos bullhead shark,Heterodontidae
HEA,Heterodontus ramalheira,Whitespotted bullhead shark,Heterodontidae
HEZ,Heterodontus zebra,Zebra bullhead shark,Heterodontidae
HDQ,Heterodontiformes,Bullhead sharks,
HXC,Chlamydoselachus anguineus,Frilled shark,Chlamydoselachidae
HWR,Chlamydoselachus africana,African frilled shark,Chlamydoselachidae
SBL,Hexanchus griseus,Bluntnose sixgill shark,Hexanchidae
HXN,Hexanchus nakamurai,Bigeyed sixgill shark,Hexanchidae
HXT,Heptranchias perlo,Sharpnose sevengill shark,Hexanchidae
NTC,Notorynchus cepedianus,Broadnose sevengill shark,Hexanchidae
HXW,Hexanchiformes,Frilled and cow sharks,
BSK,Cetorhinus maximus,Basking shark,Cetorhinidae
CCT,Carcharias taurus,Sand tiger shark,Odontaspididae
LOU,Carcharias tricuspidatus,Indian sand tiger,Odontaspididae
LOO,Odontaspis ferox,Smalltooth sand tiger,Odontaspididae
ODH,Odontaspis noronhai,Bigeye sand tiger shark,Odontaspididae
LMO,Mitsukurina owstoni,Goblin shark,Mitsukurinidae
PSK,Pseudocarcharias kamoharai,Crocodile shark,Pseudocarchariidae
LMP,Megachasma pelagios,Megamouth shark,Megachasmidae
ALV,Alopias vulpinus,Thresher,Alopiidae
PTH,Alopias pelagicus,Pelagic thresher,Alopiidae
BTH,Alopias superciliosus,Bigeye thresher,Alopiidae
THR,Alopias spp,Thresher sharks nei,Alopiidae
SMA,Isurus oxyrinchus,Shortfin mako,Lamnidae
LMA,Isurus paucus,Longfin mako,Lamnidae
MAK,Isurus spp,Mako sharks,Lamnidae
POR,Lamna nasus,Porbeagle,Lamnidae
LMD,Lamna ditropis,Salmon shark,Lamnidae
WSH,Carcharodon carcharias,Great white shark,Lamnidae
MSK,Lamnidae,"Mackerel sharks,porbeagles nei",Lamnidae
LMZ,Lamniformes,Mackerel sharks,
OSF,Stegostoma fasciatum,Zebra shark,Stegostomatidae
ORE,Eucrossorhinus dasypogon,Tasselled wobbegong,Orectolobidae
ORJ,Orectolobus japonicus,Japanese wobbegong,Orectolobidae
ORT,Orectolobus maculatus,Spotted wobbegong,Orectolobidae
ORO,Orectolobus ornatus,Ornate wobbegong,Orectolobidae
ORV,Orectolobus wardi,Northern wobbegong,Orectolobidae
ORS,Sutorectus tentaculatus,Cobbler wobbegong,Orectolobidae
GNC,Ginglymostoma cirratum,Nurse shark,Ginglymostomatidae
ORX,Ginglymostoma brevicaudatum,Short-tail nurse shark,Ginglymostomatidae
GNG,Ginglymostoma spp,Nurse sharks nei,Ginglymostomatidae
ORZ,Nebrius ferrugineus,Tawny nurse shark,Ginglymostomatidae
ORF,Hemiscyllium freycineti,Indonesia speckled carpetshark,Hemiscylliidae
ORK,Hemiscyllium hallstromi,Papuan epaulette shark,Hemiscylliidae
ORN,Hemiscyllium ocellatum,Epaulette shark,Hemiscylliidae
ORQ,Hemiscyllium strahani,Hooded carpetshark,Hemiscylliidae
ORW,Hemiscyllium trispeculare,Speckled carpetshark,Hemiscylliidae
ORA,Chiloscyllium arabicum,Arabian carpetshark,Hemiscylliidae
ORP,Chiloscyllium caerulopunctatum,Bluespotted bambooshark,Hemiscylliidae
ORR,Chiloscyllium griseum,Grey bambooshark,Hemiscylliidae
ORI,Chiloscyllium indicum,Slender bambooshark,Hemiscylliidae
ORH,Chiloscyllium plagiosum,Whitespotted bambooshark,Hemiscylliidae
ORB,Chiloscyllium punctatum,Brownbanded bambooshark,Hemiscylliidae
KYL,Chiloscyllium burmensis,Burmese bambooshark,Hemiscylliidae
YYL,Chiloscyllium hasselti,Hasselt's bambooshark,Hemiscylliidae
OQX,Chiloscyllium spp,Bamboosharks nei,Hemiscylliidae
RHN,Rhincodon typus,Whale shark,Rhincodontidae
OBW,Brachaelurus waddi,Blind shark,Brachaeluridae
OBH,Heteroscyllium colcloughi,Bluegray carpetshark,Brachaeluridae
OPC,Cirrhoscyllium expolitum,Barbelthroat carpetshark,Parascylliidae
OPF,Cirrhoscyllium formosanum,Taiwan saddled carpetshark,Parascylliidae
OPJ,Cirrhoscyllium japonicum,Saddle carpetshark,Parascylliidae
OPY,Parascyllium collare,Collared carpetshark,Parascylliidae
OPE,Parascyllium ferrugineum,Rusty carpetshark,Parascylliidae
OPV,Parascyllium variolatum,Necklace carpetshark,Parascylliidae
OCX,Orectolobiformes,Carpet sharks,
GAA,Galeus arae,Roughtail catshark,Scyliorhinidae
GAB,Galeus boardmani,Australian sawtail catshark,Scyliorhinidae
GAE,Galeus eastmani,Gecko catshark,Scyliorhinidae
SHO,Galeus melastomus,Blackmouth catshark,Scyliorhinidae
GAO,Galeus longirostris,,Scyliorhinidae
GAM,Galeus murinus,Mouse catshark,Scyliorhinidae
GAN,Galeus nipponensis,Broadfin sawtail catshark,Scyliorhinidae
GAP,Galeus piperatus,Peppered catshark,Scyliorhinidae
GAQ,Galeus polli,African sawtail catshark,Scyliorhinidae
GAI,Galeus sauteri,Blacktip sawtail catshark,Scyliorhinidae
GAH,Galeus schultzi,Dwarf sawtail catshark,Scyliorhinidae
GHA,Galeus atlanticus,Atlantic sawtail catshark,Scyliorhinidae
GAU,Galeus spp,Crest-tail catsharks nei,Scyliorhinidae
SYC,Scyliorhinus canicula,Small-spotted catshark,Scyliorhinidae
SYT,Scyliorhinus stellaris,Nursehound,Scyliorhinidae
SYB,Scyliorhinus besnardi,Polkadot catshark,Scyliorhinidae
SYA,Scyliorhinus boa,Boa catshark,Scyliorhinidae
SYP,Scyliorhinus capensis,Yellowspotted catshark,Scyliorhinidae
SYE,Scyliorhinus cervigoni,West African catshark,Scyliorhinidae
SYG,Scyliorhinus garmani,Brownspotted catshark,Scyliorhinidae
SYH,Scyliorhinus haeckelii,Freckled catshark,Scyliorhinidae
SYU,Scyliorhinus hesperius,Whitesaddled catshark,Scyliorhinidae
SYM,Scyliorhinus meadi,Blotched catshark,Scyliorhinidae
SYF,Scyliorhinus retifer,Chain catshark,Scyliorhinidae
SYK,Scyliorhinus tokubee,,Scyliorhinidae
SYZ,Scyliorhinus torazame,Cloudy catshark,Scyliorhinidae
SYI,Scyliorhinus torrei,Dwarf catshark,Scyliorhinidae
SCL,Scyliorhinus spp,"Catsharks, nursehounds nei",Scyliorhinidae
SHV,Schroederichthys bivius,Narrowmouthed catshark,Scyliorhinidae
SHY,Schroederichthys chilensis,Redspotted catshark,Scyliorhinidae
SHU,Schroederichthys maculatus,Narrowtail catshark,Scyliorhinidae
SHN,Schroederichthys tenuis,Slender catshark,Scyliorhinidae
ASY,Asymbolus analis,Australian spotted catshark,Scyliorhinidae
ASV,Asymbolus vincenti,Gulf catshark,Scyliorhinidae
AXM,Asymbolus spp,,Scyliorhinidae
ATM,Atelomycterus macleayi,Australian marbled catshark,Scyliorhinidae
ATY,Atelomycterus marmoratus,Coral catshark,Scyliorhinidae
HPE,Haploblepharus edwardsii,Puffadder shyshark,Scyliorhinidae
HPF,Haploblepharus fuscus,Brown shyshark,Scyliorhinidae
HPP,Haploblepharus pictus,Dark shyshark,Scyliorhinidae
HOP,Holohalaelurus punctatus,African spotted catshark,Scyliorhinidae
HOR,Holohalaelurus regani,Izak catshark,Scyliorhinidae
PAH,Parmaturus campechiensis,Campeche catshark,Scyliorhinidae
PAE,Parmaturus macmillani,McMillan's cat shark,Scyliorhinidae
PAV,Parmaturus melanobranchius,Blackgill catshark,Scyliorhinidae
PAW,Parmaturus pilosus,Salamander shark,Scyliorhinidae
PAY,Parmaturus xaniurus,Filetail catshark,Scyliorhinidae
CSA,Apristurus acanutus,,Scyliorhinidae
CSU,Apristurus atlanticus,Atlantic ghost catshark,Scyliorhinidae
CSN,Apristurus brunneus,Brown catshark,Scyliorhinidae
CSQ,Apristurus canutus,Hoary catshark,Scyliorhinidae
CSG,Apristurus gibbosus,,Scyliorhinidae
CSW,Apristurus herklotsi,Longfin catshark,Scyliorhinidae
APD,Apristurus indicus,Smallbelly catshark,Scyliorhinidae
APV,Apristurus investigatoris,Broadnose catshark,Scyliorhinidae
CSJ,Apristurus japonicus,Japanese catshark,Scyliorhinidae
CSZ,Apristurus kampae,Longnose catshark,Scyliorhinidae
APQ,Apristurus laurussonii,Iceland catshark,Scyliorhinidae
CSF,Apristurus longicephalus,Longhead catshark,Scyliorhinidae
CSX,Apristurus macrorhynchus,Flathead catshark,Scyliorhinidae
APM,Apristurus macrostomus,,Scyliorhinidae
APF,Apristurus maderensis,Madeira catshark,Scyliorhinidae
APA,Apristurus manis,Ghost catshark,Scyliorhinidae
APX,Apristurus microps,Smalleye catshark,Scyliorhinidae
APY,Apristurus micropterygeus,,Scyliorhinidae
APW,Apristurus nasutus,Largenose catshark,Scyliorhinidae
APK,Apristurus parvipinnis,Smallfin catshark,Scyliorhinidae
APZ,Apristurus platyrhynchus,Spatulasnout catshark,Scyliorhinidae
APP,Apristurus profundorum,Deep-water catshark,Scyliorhinidae
CSV,Apristurus riveri,Broadgill catshark,Scyliorhinidae
APC,Apristurus saldanha,Saldanha catshark,Scyliorhinidae
APJ,Apristurus sibogae,Pale catshark,Scyliorhinidae
ASI,Apristurus sinensis,South China catshark,Scyliorhinidae
ASO,Apristurus spongiceps,Spongehead catshark,Scyliorhinidae
ASE,Apristurus stenseni,Panama ghost catshark,Scyliorhinidae
ASW,Apristurus verweyi,Borneo catshark,Scyliorhinidae
API,Apristurus spp,Deep-water catsharks,Scyliorhinidae
AUK,Aulohalaelurus kanakorum,Kanakorum catshark,Scyliorhinidae
AUL,Aulohalaelurus labiosus,Australian blackspot catshark,Scyliorhinidae
HAA,Halaelurus alcocki,Arabian catshark,Scyliorhinidae
HAB,Halaelurus boesemani,Speckled catshark,Scyliorhinidae
HAE,Halaelurus buergeri,Blackspotted catshark,Scyliorhinidae
HAN,Halaelurus canescens,Dusky catshark,Scyliorhinidae
HAO,Halaelurus dawsoni,New Zealand catshark,Scyliorhinidae
HAH,Halaelurus hispidus,Bristly catshark,Scyliorhinidae
HAV,Halaelurus immaculatus,Spotless catshark,Scyliorhinidae
HAY,Halaelurus lineatus,Lined catshark,Scyliorhinidae
HAG,Halaelurus lutarius,Mud catshark,Scyliorhinidae
HAK,Halaelurus natalensis,Tiger catshark,Scyliorhinidae
HAQ,Halaelurus quagga,Quagga catshark,Scyliorhinidae
PEU,Pentanchus profundicolus,Onefin catshark,Scyliorhinidae
CPF,Cephaloscyllium fasciatum,Reticulated swellshark,Scyliorhinidae
CPS,Cephaloscyllium isabellum,Draughtsboard shark,Scyliorhinidae
CPT,Cephaloscyllium laticeps,Australian swellshark,Scyliorhinidae
CPN,Cephaloscyllium nascione,Whitefinned swellshark,Scyliorhinidae
CPA,Cephaloscyllium silasi,Indian swellshark,Scyliorhinidae
CPH,Cephaloscyllium sufflans,Balloon shark,Scyliorhinidae
CPB,Cephaloscyllium umbratile,Blotchy swell shark,Scyliorhinidae
CPV,Cephaloscyllium ventriosum,Swellshark,Scyliorhinidae
CPC,Cephalurus cephalus,Lollipop catshark,Scyliorhinidae
POU,Poroderma africanum,Striped catshark,Scyliorhinidae
POE,Poroderma marleyi,Barbeled catshark,Scyliorhinidae
POH,Poroderma pantherinum,Leopard catshark,Scyliorhinidae
SYX,Scyliorhinidae,"Catsharks, etc. nei",Scyliorhinidae
BSH,Prionace glauca,Blue shark,Carcharhinidae
CIO,Isogomphodon oxyrhynchus,Daggernose shark,Carcharhinidae
LMT,Lamiopsis temmincki,Broadfin shark,Carcharhinidae
CNX,Nasolamia velox,Whitenose shark,Carcharhinidae
CCP,Carcharhinus plumbeus,Sandbar shark,Carcharhinidae
CCY,Carcharhinus amblyrhynchoides,Graceful shark,Carcharhinidae
CCL,Carcharhinus limbatus,Blacktip shark,Carcharhinidae
BLR,Carcharhinus melanopterus,Blacktip reef shark,Carcharhinidae
AML,Carcharhinus amblyrhynchos,Grey reef shark,Carcharhinidae
CCF,Carcharhinus amboinensis,Pigeye shark,Carcharhinidae
CCX,Carcharhinus borneensis,Borneo shark,Carcharhinidae
CCN,Carcharhinus acronotus,Blacknose shark,Carcharhinidae
CCC,Carcharhinus cautus,Nervous shark,Carcharhinidae
OCS,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinidae
CCR,Carcharhinus porosus,Smalltail shark,Carcharhinidae
CCD,Carcharhinus dussumieri,Whitecheek shark,Carcharhinidae
CCZ,Carcharhinus fitzroyensis,Creek whaler,Carcharhinidae
DUS,Carcharhinus obscurus,Dusky shark,Carcharhinidae
FAL,Carcharhinus falciformis,Silky shark,Carcharhinidae
CCE,Carcharhinus leucas,Bull shark,Carcharhinidae
ALS,Carcharhinus albimarginatus,Silvertip shark,Carcharhinidae
BRO,Carcharhinus brachyurus,Copper shark,Carcharhinidae
CCB,Carcharhinus brevipinna,Spinner shark,Carcharhinidae
CCI,Carcharhinus sealei,Blackspot shark,Carcharhinidae
CCS,Carcharhinus signatus,Night shark,Carcharhinidae
CCM,Carcharhinus macloti,Hardnose shark,Carcharhinidae
CCO,Carcharhinus isodon,Finetooth shark,Carcharhinidae
CCA,Carcharhinus altimus,Bignose shark,Carcharhinidae
CCG,Carcharhinus galapagensis,Galapagos shark,Carcharhinidae
CCK,Carcharhinus hemiodon,Pondicherry shark,Carcharhinidae
CCJ,Carcharhinus leiodon,,Carcharhinidae
CCV,Carcharhinus perezi,Caribbean reef shark,Carcharhinidae
CCQ,Carcharhinus sorrah,Spot-tail shark,Carcharhinidae
CCU,Carcharhinus tilstoni,Australian blacktip shark,Carcharhinidae
CCW,Carcharhinus wheeleri,Blacktail reef shark,Carcharhinidae
CWZ,Carcharhinus spp,Carcharhinus sharks nei,Carcharhinidae
TIG,Galeocerdo cuvier,Tiger shark,Carcharhinidae
SLA,Scoliodon laticaudus,Spadenose shark,Carcharhinidae
TRB,Triaenodon obesus,Whitetip reef shark,Carcharhinidae
NGB,Negaprion brevirostris,Lemon shark,Carcharhinidae
NGA,Negaprion acutidens,Sicklefin lemon shark,Carcharhinidae
CLD,Loxodon macrorhinus,Sliteye shark,Carcharhinidae
CGA,Glyphis gangeticus,Ganges shark,Carcharhinidae
CGG,Glyphis glyphis,Speartooth shark,Carcharhinidae
RHT,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Carcharhinidae
RHA,Rhizoprionodon acutus,Milk shark,Carcharhinidae
RHL,Rhizoprionodon lalandii,Brazilian sharpnose shark,Carcharhinidae
RHU,Rhizoprionodon longurio,Pacific sharpnose shark,Carcharhinidae
RHX,Rhizoprionodon oligolinx,Grey sharpnose shark,Carcharhinidae
RHR,Rhizoprionodon porosus,Caribbean sharpnose shark,Carcharhinidae
RHY,Rhizoprionodon taylori,Australian sharpnose shark,Carcharhinidae
RHZ,Rhizoprionodon spp,Sharpnose sharks nei,Carcharhinidae
RSK,Carcharhinidae,Requiem sharks nei,Carcharhinidae
EUB,Eusphyra blochii,Winghead shark,Sphyrnidae
SPZ,Sphyrna zygaena,Smooth hammerhead,Sphyrnidae
SSN,Sphyrna corona,Scalloped bonnethead,Sphyrnidae
SPV,Sphyrna couardi,Whitefin hammerhead,Sphyrnidae
SPL,Sphyrna lewini,Scalloped hammerhead,Sphyrnidae
SPE,Sphyrna media,Scoophead,Sphyrnidae
SPQ,Sphyrna tudes,Smalleye hammerhead,Sphyrnidae
SPJ,Sphyrna tiburo,Bonnethead,Sphyrnidae
SPK,Sphyrna mokarran,Great hammerhead,Sphyrnidae
SPN,Sphyrna spp,Hammerhead sharks nei,Sphyrnidae
SPY,Sphyrnidae,"Hammerhead sharks, etc. nei",Sphyrnidae
CTU,Mustelus antarcticus,Gummy shark,Triakidae
CTN,Mustelus californicus,Grey smooth-hound,Triakidae
CTI,Mustelus canis,Dusky smooth-hound,Triakidae
CTD,Mustelus dorsalis,Sharptooth smooth-hound,Triakidae
CTF,Mustelus fasciatus,Striped smooth-hound,Triakidae
CTE,Mustelus griseus,Spotless smooth-hound,Triakidae
CTK,Mustelus henlei,Brown smooth-hound,Triakidae
CTJ,Mustelus higmani,Smalleye smooth-hound,Triakidae
MTL,Mustelus lenticulatus,Spotted estuary smooth-hound,Triakidae
MUU,Mustelus lunulatus,Sicklefin smooth-hound,Triakidae
MTZ,Mustelus manazo,Starspotted smooth-hound,Triakidae
SDP,Mustelus schmitti,Narrownose smooth-hound,Triakidae
SMD,Mustelus mustelus,Smooth-hound,Triakidae
MTR,Mustelus norrisi,Narrowfin smooth-hound,Triakidae
SDS,Mustelus asterias,Starry smooth-hound,Triakidae
MTE,Mustelus mento,Speckled smooth-hound,Triakidae
MTM,Mustelus mosis,Arabian smooth-hound,Triakidae
MUP,Mustelus palumbes,Whitespotted smooth-hound,Triakidae
MPT,Mustelus punctulatus,Blackspotted smooth-hound,Triakidae
MUW,Mustelus whitneyi,Humpback smooth-hound,Triakidae
SDV,Mustelus spp,Smooth-hounds nei,Triakidae
GAG,Galeorhinus galeus,Tope shark,Triakidae
TTA,Triakis acutipinna,Sharpfin houndshark,Triakidae
LES,Triakis semifasciata,Leopard shark,Triakidae
TTM,Triakis maculata,Spotted houndshark,Triakidae
TTE,Triakis megalopterus,Sharptooth houndshark,Triakidae
TTY,Triakis scyllium,Banded houndshark,Triakidae
TIK,Iago garricki,Longnose houndshark,Triakidae
TIO,Iago omanensis,Bigeye houndshark,Triakidae
TGF,Gogolia filewoodi,Sailback houndshark,Triakidae
THH,Hypogaleus hyugaensis,Blacktipe tope,Triakidae
TFM,Furgaleus macki,Whiskery shark,Triakidae
THJ,Hemitriakis japanica,Japanese topeshark,Triakidae
THL,Hemitriakis leucoperiptera,Whitefin topeshark,Triakidae
TSK,Scylliogaleus quecketti,Flapnose houndshark,Triakidae
TRK,Triakidae,"Houndsharks, smoothhounds nei",Triakidae
PTM,Pseudotriakis microdon,False catshark,Pseudotriakidae
HCM,Chaenogaleus macrostoma,Hooktooth shark,Hemigaleidae
HEE,Hemipristis elongata,Snaggletooth shark,Hemigaleidae
HEC,Paragaleus leucolomatus,Whitetip weasel shark,Hemigaleidae
HEI,Paragaleus pectoralis,Atlantic weasel shark,Hemigaleidae
HEN,Paragaleus tengi,Straight-tooth weasel shark,Hemigaleidae
IEI,Paragaleus randalli,Slender weasel shark,Hemigaleidae
HEH,Hemigaleus microstoma,Sicklefin weasel shark,Hemigaleidae
CLL,Leptocharias smithii,Barbeled houndshark,Leptochariidae
CPE,Ctenacis fehlmanni,Harlequin catshark,Proscylliidae
PEB,Eridacnis barbouri,Cuban ribbontail catshark,Proscylliidae
PEA,Eridacnis radcliffei,Pygmy ribbontail catshark,Proscylliidae
PED,Eridacnis sinuans,African ribbontail catshark,Proscylliidae
CPG,Gollum attenuatus,Slender smooth-hound,Proscylliidae
CPY,Proscyllium habereri,Graceful catshark,Proscylliidae
CVX,Carcharhiniformes,Ground sharks,
GSK,Somniosus microcephalus,Greenland shark,Squalidae
SOR,Somniosus rostratus,Little sleeper shark,Squalidae
SON,Somniosus pacificus,Pacific sleeper shark,Squalidae
CHZ,Cirrhigaleus asper,Roughskin spurdog,Squalidae
CHF,Cirrhigaleus barbifer,Mandarin dogfish,Squalidae
EUZ,Euprotomicroides zantedeschia,Taillight shark,Squalidae
HYY,Heteroscymnoides marleyi,Longnose pygmy shark,Squalidae
QUB,Squalus blainville,Longnose spurdog,Squalidae
QUC,Squalus cubensis,Cuban dogfish,Squalidae
QUJ,Squalus japonicus,Japanese spurdog,Squalidae
DGS,Squalus acanthias,Picked dogfish,Squalidae
QUK,Squalus mitsukurii,Shortspine spurdog,Squalidae
QUR,Squalus rancureli,Cyrano spurdog,Squalidae
QUN,Squalus melanurus,Blacktailed spurdog,Squalidae
DOP,Squalus megalops,Shortnose spurdog,Squalidae
QYW,Squalus suckleyi,Spotted spiny dogfish,Squalidae
DGZ,Squalus spp,Dogfishes nei,Squalidae
GUP,Centrophorus granulosus,Gulper shark,Squalidae
CPU,Centrophorus uyato,Little gulper shark,Squalidae
GUQ,Centrophorus squamosus,Leafscale gulper shark,Squalidae
CPL,Centrophorus lusitanicus,Lowfin gulper shark,Squalidae
CEA,Centrophorus acus,Needle dogfish,Squalidae
CEU,Centrophorus harrissoni,Dumb gulper shark,Squalidae
CEM,Centrophorus moluccensis,Smallfin gulper shark,Squalidae
CEK,Centrophorus niaukang,Taiwan gulper shark,Squalidae
CEE,Centrophorus tessellatus,Mosaic gulper shark,Squalidae
GVA,Centrophorus atromarginatus,Blackfin gulper shark,Squalidae
GVI,Centrophorus isodon,Black gulper shark,Squalidae
CWO,Centrophorus spp,Gulper sharks nei,Squalidae
ETX,Etmopterus spinax,Velvet belly,Squalidae
ETB,Etmopterus bigelowi,Blurred smooth lantern shark,Squalidae
ETH,Etmopterus brachyurus,Shorttail lanternshark,Squalidae
ETU,Etmopterus bullisi,Lined lanternshark,Squalidae
ETR,Etmopterus princeps,Great lanternshark,Squalidae
ETP,Etmopterus pusillus,Smooth lanternshark,Squalidae
ETI,Etmopterus gracilispinis,Broadbanded lanternshark,Squalidae
ETM,Etmopterus granulosus,Southern lanternshark(Lucifer),Squalidae
ETN,Etmopterus hillianus,Carribean lanternshark,Squalidae
ETF,Etmopterus lucifer,Blackbelly lanternshark,Squalidae
ETL,Etmopterus molleri,Mollers lantern shark,Squalidae
ETT,Etmopterus polli,African lanternshark,Squalidae
ETZ,Etmopterus schultzi,Fringfin lanternshark,Squalidae
ETQ,Etmopterus sentosus,Thorny lanternshark,Squalidae
ETK,Etmopterus splendidus,Splendid lanternshark,Squalidae
ETJ,Etmopterus unicolor,Brown lanternshark,Squalidae
ETV,Etmopterus villosus,Hawaiian lanternshark,Squalidae
ETW,Etmopterus virens,Green lanternshark,Squalidae
ETE,Etmopterus compagnoi,,Squalidae
ETO,Etmopterus decacuspidatus,Combtoothed lanternshark,Squalidae
SHL,Etmopterus spp,Lanternsharks nei,Squalidae
ISB,Isistius brasiliensis,Cookie cutter shark,Squalidae
ISP,Isistius plutodus,Largetooth cookiecutter shark,Squalidae
EUP,Euprotomicrus bispinatus,Pygmy shark,Squalidae
DCA,Deania calcea,Birdbeak dogfish,Squalidae
SDH,Deania hystricosa,Rough longnose dogfish,Squalidae
SDU,Deania profundorum,Arrowhead dogfish,Squalidae
SDQ,Deania quadrispinosa,Longsnout dogfish,Squalidae
DNA,Deania spp,Deania dogfishes nei,Squalidae
YSA,Scymnodalatias albicauda,Whitetail dogfish,Squalidae
YSS,Scymnodalatias sherwoodi,Sherwood dogfish,Squalidae
CYO,Centroscymnus coelolepis,Portuguese dogfish,Squalidae
CYP,Centroscymnus crepidater,Longnose velvet dogfish,Squalidae
CYY,Centroscymnus cryptacanthus,Shortnose velvet dogfish,Squalidae
CYW,Centroscymnus owstoni,Roughskin dogfish,Squalidae
CYU,Centroscymnus plunketi,Plunket shark,Squalidae
CZI,Centroscymnus spp,,Squalidae
SYO,Scymnodon obscurus,Smallmouth knifetooth dogfish,Squalidae
SYR,Scymnodon ringens,Knifetooth dogfish,Squalidae
YSM,Scymnodon macracanthus,Largespine velvet dogfish,Squalidae
SSQ,Scymnodon squamulosus,Velvet dogfish,Squalidae
QUX,Scymnodon spp,Scymnodon dogfishes nei,Squalidae
SCK,Dalatias licha,Kitefin shark,Squalidae
CFB,Centroscyllium fabricii,Black dogfish,Squalidae
CYG,Centroscyllium granulatum,Granular dogfish,Squalidae
CYK,Centroscyllium kamoharai,Bareskin dogfish,Squalidae
CYN,Centroscyllium nigrum,Combtooth dogfish,Squalidae
CYT,Centroscyllium ornatum,Ornate dogfish,Squalidae
CYR,Centroscyllium ritteri,Whitefin dogfish,Squalidae
YCX,Centroscyllium spp,Centroscyllium dogfishes nei,Squalidae
ACN,Aculeola nigra,Hooktooth dogfish,Squalidae
QUA,Squaliolus aliae,Smalleye pygmy shark,Squalidae
QUL,Squaliolus laticaudus,Spined pygmy shark,Squalidae
DGX,Squalidae,Dogfish sharks nei,Squalidae
DGH,"Squalidae, Scyliorhinidae",Dogfishes and hounds nei,
PPC,Pristiophorus cirratus,Longnose sawshark,Pristiophoridae
PPJ,Pristiophorus japonicus,Japanese sawshark,Pristiophoridae
PPU,Pristiophorus nudipinnis,Shortnose sawshark,Pristiophoridae
PPH,Pristiophorus schroederi,Bahamas sawshark,Pristiophoridae
